dateday,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-10-17,3,10,1,1,0,12566,180113.98333333334,3001.8997222222224
2023-10-18,3,10,2,1,0,12809,187500.3,3125.0049999999997
2023-10-19,3,10,3,1,0,13549,215198.03333333333,3586.6338888888886
2023-10-20,3,10,4,1,0,10650,168654.38333333333,2810.906388888889
2023-10-21,3,10,5,0,0,13658,259227.11666666667,4320.451944444444
2023-10-22,3,10,6,0,0,11150,200004.48333333334,3333.4080555555556
2023-10-23,3,10,0,1,0,11033,151840.03333333333,2530.667222222222
2023-10-24,3,10,1,1,0,13167,192209.8,3203.4966666666664
2023-10-25,3,10,2,1,0,14045,216782.11666666667,3613.035277777778
2023-10-26,3,10,3,1,0,13926,204610.85,3410.1808333333333
2023-10-27,3,10,4,1,0,14368,228280.65,3804.6775
2023-10-28,3,10,5,0,0,15480,324409.63333333336,5406.827222222223
2023-10-29,3,10,6,0,0,13343,280752.2166666667,4679.203611111111
2023-10-30,3,10,0,1,0,10156,142965.01666666666,2382.7502777777777
2023-10-31,3,10,1,1,0,11445,146476.88333333333,2441.281388888889
2023-11-01,3,11,2,1,0,10032,119132.11666666667,1985.5352777777778
2023-11-02,3,11,3,1,0,10594,134794.78333333333,2246.5797222222222
2023-11-03,3,11,4,1,0,11049,160874.15,2681.235833333333
2023-11-04,3,11,5,0,0,14292,278467.56666666665,4641.126111111111
2023-11-05,3,11,6,0,0,12177,224444.05,3740.7341666666666
2023-11-06,3,11,0,1,0,10743,154587.06666666668,2576.4511111111115
2023-11-07,3,11,1,1,0,12293,165917.63333333333,2765.293888888889
2023-11-08,3,11,2,1,0,12147,161325.7,2688.7616666666668
2023-11-09,3,11,3,1,0,11642,167246.31666666668,2787.438611111111
2023-11-10,3,11,4,1,1,6271,80284.6,1338.0766666666668
2023-11-11,3,11,5,0,0,11730,228787.2,3813.1200000000003
2023-11-12,3,11,6,0,0,8712,143923.6,2398.726666666667
2023-11-13,3,11,0,1,0,9589,120962.43333333333,2016.0405555555556
2023-11-14,3,11,1,1,0,11310,154236.85,2570.6141666666667
2023-11-15,3,11,2,1,0,11269,153122.11666666667,2552.035277777778
2023-11-16,3,11,3,1,0,11744,160487.73333333334,2674.7955555555554
2023-11-17,3,11,4,1,0,11271,159460.81666666668,2657.680277777778
2023-11-18,3,11,5,0,0,10806,179926.26666666666,2998.771111111111
2023-11-19,3,11,6,0,0,8992,161618.35,2693.639166666667
2023-11-20,3,11,0,1,0,8086,106889.95,1781.4991666666667
2023-11-21,3,11,1,1,0,2592,27132.75,452.2125
2023-11-22,3,11,2,1,0,6807,99163.71666666666,1652.728611111111
2023-11-23,3,11,3,1,1,4228,85267.41666666667,1421.1236111111111
2023-11-24,3,11,4,1,0,5489,101289.03333333334,1688.1505555555557
2023-11-25,3,11,5,0,0,5327,85852.48333333334,1430.8747222222223
2023-11-26,3,11,6,0,0,3836,49804.48333333333,830.0747222222221
2023-11-27,3,11,0,1,0,7353,84702.28333333334,1411.7047222222222
2023-11-28,3,11,1,1,0,7402,81768.15,1362.8025
2023-11-29,3,11,2,1,0,7709,92071.18333333333,1534.5197222222223
2023-11-30,3,11,3,1,0,9751,119337.93333333333,1988.9655555555555
2023-12-01,4,12,4,1,0,6622,78185.56666666667,1303.0927777777777
2023-12-02,4,12,5,0,0,10152,156218.33333333334,2603.638888888889
2023-12-03,4,12,6,0,0,6608,92807.78333333334,1546.796388888889
2023-12-04,4,12,0,1,0,8831,107372.75,1789.5458333333333
2023-12-05,4,12,1,1,0,9157,112596.4,1876.6066666666666
2023-12-06,4,12,2,1,0,8542,116807.6,1946.7933333333335
2023-12-07,4,12,3,1,0,8519,111314.1,1855.2350000000001
2023-12-08,4,12,4,1,0,9407,120631.53333333334,2010.5255555555557
2023-12-09,4,12,5,0,0,10422,179170.1,2986.1683333333335
2023-12-10,4,12,6,0,0,3267,37808.1,630.135
2023-12-11,4,12,0,1,0,7015,76881.1,1281.3516666666667
2023-12-12,4,12,1,1,0,8345,104219.55,1736.9925
2023-12-13,4,12,2,1,0,8471,105252.03333333334,1754.2005555555556
2023-12-14,4,12,3,1,0,8020,97273.66666666667,1621.2277777777779
2023-12-15,4,12,4,1,0,8930,114888.56666666667,1914.8094444444444
2023-12-16,4,12,5,0,0,9291,143978.4,2399.64
2023-12-17,4,12,6,0,0,4371,54381.48333333333,906.3580555555556
2023-12-18,4,12,0,1,0,6689,85339.28333333334,1422.321388888889
2023-12-19,4,12,1,1,0,6647,79497.81666666667,1324.963611111111
2023-12-20,4,12,2,1,0,6760,91749.16666666667,1529.1527777777778
2023-12-21,4,12,3,1,0,6172,87633.3,1460.555
2023-12-22,4,12,4,1,0,5261,71581.88333333333,1193.0313888888888
2023-12-23,4,12,5,0,0,4140,70458.76666666666,1174.3127777777777
2023-12-24,4,12,6,0,0,2828,46525.9,775.4316666666667
2023-12-25,4,12,0,1,1,2789,69360.98333333334,1156.016388888889
2023-12-26,4,12,1,1,0,2411,38029.083333333336,633.8180555555556
2023-12-27,4,12,2,1,0,1717,25171.233333333334,419.5205555555556
2023-12-28,4,12,3,1,0,5783,109335.55,1822.2591666666667
2023-12-29,4,12,4,1,0,6229,113607.91666666667,1893.4652777777778
2023-12-30,4,12,5,0,0,5455,96623.83333333333,1610.3972222222221
2023-12-31,4,12,6,0,0,5155,84932.75,1415.5458333333333
