dateday,hour,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-03-20,5,1,3,0,1,0,50,974.9166666666667,16.248611111111114
2023-03-20,6,1,3,0,1,0,153,1671.4833333333333,27.858055555555556
2023-03-20,7,1,3,0,1,0,320,3727.266666666667,62.12111111111111
2023-03-20,8,1,3,0,1,0,527,6766.583333333333,112.77638888888889
2023-03-20,9,1,3,0,1,0,320,3519.6,58.66
2023-03-20,10,1,3,0,1,0,226,3032.7833333333333,50.54638888888889
2023-03-20,11,1,3,0,1,0,236,4195.383333333333,69.92305555555555
2023-03-20,12,1,3,0,1,0,344,6137.3,102.28833333333334
2023-03-20,13,1,3,0,1,0,287,4678.566666666667,77.97611111111111
2023-03-20,14,1,3,0,1,0,321,7320.783333333334,122.01305555555557
2023-03-20,15,1,3,0,1,0,472,7562.816666666667,126.04694444444445
2023-03-20,16,1,3,0,1,0,598,10527.116666666667,175.45194444444445
2023-03-20,17,1,3,0,1,0,945,14627.85,243.7975
2023-03-20,18,1,3,0,1,0,885,13097.65,218.29416666666665
2023-03-20,19,1,3,0,1,0,562,7265.25,121.0875
2023-03-20,20,1,3,0,1,0,375,5492.816666666667,91.54694444444445
2023-03-20,21,1,3,0,1,0,252,3578.4,59.64
2023-03-20,22,1,3,0,1,0,168,1976.3166666666666,32.93861111111111
2023-03-20,23,1,3,0,1,0,61,625.75,10.429166666666667
2023-03-21,0,1,3,1,1,0,31,291.75,4.8625
2023-03-21,1,1,3,1,1,0,11,97.8,1.63
2023-03-21,2,1,3,1,1,0,3,18.183333333333334,0.3030555555555556
2023-03-21,3,1,3,1,1,0,3,34.416666666666664,0.5736111111111111
2023-03-21,4,1,3,1,1,0,8,79.5,1.325
2023-03-21,5,1,3,1,1,0,52,473.2,7.886666666666667
2023-03-21,6,1,3,1,1,0,204,2960.516666666667,49.34194444444445
2023-03-21,7,1,3,1,1,0,458,5417.533333333334,90.29222222222224
2023-03-21,8,1,3,1,1,0,885,10847.933333333332,180.79888888888888
2023-03-21,9,1,3,1,1,0,476,6723.85,112.06416666666668
2023-03-21,10,1,3,1,1,0,298,4857.65,80.96083333333333
2023-03-21,11,1,3,1,1,0,374,7352.733333333334,122.54555555555557
2023-03-21,12,1,3,1,1,0,401,6365.35,106.08916666666667
2023-03-21,13,1,3,1,1,0,368,7304.983333333334,121.74972222222223
2023-03-21,14,1,3,1,1,0,412,7297.683333333333,121.62805555555556
2023-03-21,15,1,3,1,1,0,506,9688.833333333334,161.48055555555555
2023-03-21,16,1,3,1,1,0,800,14051.083333333334,234.18472222222223
2023-03-21,17,1,3,1,1,0,1376,31559.7,525.995
2023-03-21,18,1,3,1,1,0,1135,19130.133333333335,318.8355555555556
2023-03-21,19,1,3,1,1,0,718,9951.733333333334,165.86222222222221
2023-03-21,20,1,3,1,1,0,431,6871.716666666666,114.5286111111111
2023-03-21,21,1,3,1,1,0,317,6305.116666666667,105.08527777777778
2023-03-21,22,1,3,1,1,0,214,2718.9,45.315000000000005
2023-03-21,23,1,3,1,1,0,96,1627.2833333333333,27.121388888888887
2023-03-22,0,1,3,2,1,0,32,308.4666666666667,5.141111111111112
2023-03-22,1,1,3,2,1,0,9,115.36666666666667,1.922777777777778
2023-03-22,2,1,3,2,1,0,10,160.5,2.675
2023-03-22,3,1,3,2,1,0,6,145.48333333333335,2.4247222222222224
2023-03-22,4,1,3,2,1,0,14,170.5,2.841666666666667
2023-03-22,5,1,3,2,1,0,72,719.9833333333333,11.999722222222223
2023-03-22,6,1,3,2,1,0,257,3663.75,61.0625
2023-03-22,7,1,3,2,1,0,536,6801.333333333333,113.35555555555555
2023-03-22,8,1,3,2,1,0,920,13395.15,223.2525
2023-03-22,9,1,3,2,1,0,511,6783.35,113.05583333333334
2023-03-22,10,1,3,2,1,0,325,5731.35,95.52250000000001
2023-03-22,11,1,3,2,1,0,327,5215.616666666667,86.92694444444444
2023-03-22,12,1,3,2,1,0,488,10470.983333333334,174.51638888888888
2023-03-22,13,1,3,2,1,0,472,9206.616666666667,153.44361111111112
2023-03-22,14,1,3,2,1,0,472,11902.983333333334,198.38305555555556
2023-03-22,15,1,3,2,1,0,576,10604.583333333334,176.74305555555557
2023-03-22,16,1,3,2,1,0,869,16305.883333333333,271.76472222222225
2023-03-22,17,1,3,2,1,0,1414,29491.3,491.52166666666665
2023-03-22,18,1,3,2,1,0,1301,25150.083333333332,419.16805555555555
2023-03-22,19,1,3,2,1,0,870,17288.483333333334,288.1413888888889
2023-03-22,20,1,3,2,1,0,529,8835.15,147.2525
2023-03-22,21,1,3,2,1,0,394,5644.95,94.0825
2023-03-22,22,1,3,2,1,0,269,3616.7833333333333,60.27972222222222
2023-03-22,23,1,3,2,1,0,135,2302.2833333333333,38.37138888888889
2023-03-23,0,1,3,3,1,0,36,413.21666666666664,6.886944444444444
2023-03-23,1,1,3,3,1,0,13,109.85,1.8308333333333333
2023-03-23,2,1,3,3,1,0,6,61.099999999999994,1.0183333333333333
2023-03-23,3,1,3,3,1,0,3,34.06666666666667,0.5677777777777778
2023-03-23,4,1,3,3,1,0,12,137.36666666666667,2.2894444444444444
2023-03-23,5,1,3,3,1,0,53,432.51666666666665,7.208611111111111
2023-03-23,6,1,3,3,1,0,208,3563.6,59.39333333333333
2023-03-23,7,1,3,3,1,0,500,7416.866666666667,123.61444444444444
